name,phone,email,website,suburb,state,source,status,notes,register_check_url
2020-independent-support,0400474388,,https://providerlink.com.au/directory/listing/2020-independent-support,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
able-australia,0439 815 911,,https://providerlink.com.au/directory/listing/able-australia,,,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
able-australia-launceston,,,https://providerlink.com.au/directory/listing/able-australia-launceston,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
anglicare-tasmania-burnie,,,https://providerlink.com.au/directory/listing/anglicare-tasmania-burnie,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
anglicare-tasmania-devonport,,,https://providerlink.com.au/directory/listing/anglicare-tasmania-devonport,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
anglicare-tasmania-glenorchy,,,https://providerlink.com.au/directory/listing/anglicare-tasmania-glenorchy,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
anglicare-tasmania-hobart,,,https://providerlink.com.au/directory/listing/anglicare-tasmania-hobart,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
anglicare-tasmania-hobart-1,,,https://providerlink.com.au/directory/listing/anglicare-tasmania-hobart-1,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
anglicare-tasmania-launceston,,,https://providerlink.com.au/directory/listing/anglicare-tasmania-launceston,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
anglicare-tasmania-sorell,,,https://providerlink.com.au/directory/listing/anglicare-tasmania-sorell,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
anglicare-tasmania-st-helens,,,https://providerlink.com.au/directory/listing/anglicare-tasmania-st-helens,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
anglicare-tasmania-zeehan,,,https://providerlink.com.au/directory/listing/anglicare-tasmania-zeehan,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
annabelle-palmer-independent-support-worker-1,0439351383,,https://providerlink.com.au/directory/listing/annabelle-palmer-independent-support-worker-1,,,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
bethlehem-house-tasmania-murray-st,03 6234 4594,,https://providerlink.com.au/directory/listing/bethlehem-house-tasmania-murray-st,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
bethlehem-house-tasmania-warwick-st,03 6234 4594,,https://providerlink.com.au/directory/listing/bethlehem-house-tasmania-warwick-st,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
can-do-clean-4-you,0448 025 912,,https://providerlink.com.au/directory/listing/can-do-clean-4-you,,,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
choice-support-tasmania-2,03 6169 2588,,https://providerlink.com.au/directory/listing/choice-support-tasmania-2,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
engaged-support-services,0483084320,,https://providerlink.com.au/directory/listing/engaged-support-services,,,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
everyday-independence-launceston,,,https://providerlink.com.au/directory/listing/everyday-independence-launceston,,,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
glenhaven-family-care-ulverstone,03 6425 1144,,https://providerlink.com.au/directory/listing/glenhaven-family-care-ulverstone,,TAS,providerlink,unverified,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
